-- Mesa Opcode Families edited by MEW,   11-Jun-86 11:23:39
-- Format: name octal(decimal)push,pop,paramcount
NULL      0(0)0,0,0;
ACD       +(0)2,3,0;
ADC       +(0)2,3,0;
ADD       +(0)1,2,0;
ADDSB     +(0)1,1,1;
AF        +(0)1,1,0;
AL0IB     +(0)1,0,1;
AMUL      +(0)1,2,0;
AND       +(0)1,2,0;
BC        +(0)0,2,0;
BITBLT    +(0)0,1,0;
BLT       +(0)0,3,0;
BLTC      +(0)0,3,0;
BLTCL     +(0)0,4,0;
BLTEL     +(0)0,5,0;
BLTECL    +(0)0,4,0;
BLTL      +(0)0,5,0;
BNDCK     +(0)1,2,0;
BNDCKL    +(0)2,4,0;
BRK       +(0)0,0,0;
CATCH     +(0)0,0,1;
CATCHFSI  +(0)0,0,1;
CAW       +(0)2,0,1;
DADD      +(0)2,4,0;
DAND      +(0)2,4,0;
DB        +(0)1,0,1;
DBL       +(0)1,1,0;
DBS       +(0)1,1,1;
DCMP      +(0)1,4,0;
DDBL      +(0)2,2,0;
DDIV      +(0)2,4,0;
DDUP      +(0)4,2,0;
DEC       +(0)1,1,0;
DESC      +(0)2,0,1;
DEXCH     +(0)4,4,0;
DI        +(0)0,0,0;
DINC      +(0)2,2,0;
DIOR      +(0)2,4,0;
DIS       +(0)0,1,0;
DIS2      +(0)0,2,0;
DMOD      +(0)2,4,0;
DMUL      +(0)2,4,0;
DSHIFT    +(0)2,3,0;
DSK       +(0)0,0,1;
DSUB      +(0)2,4,0;
DUDIV     +(0)2,4,0;
DUMOD     +(0)2,4,0;
DUP       +(0)2,1,0;
DXOR      +(0)2,4,0;
EFC       +(0)0,0,1;
EI        +(0)0,0,0;
ESC       +(0)0,0,0;
ESCL      +(0)0,0,1;
EXCH      +(0)2,2,0;
EXDIS     +(0)1,2,0;
FADD      +(0)2,4,0;
FCOMP     +(0)1,4,0;
FDIV      +(0)2,4,0;
FF        +(0)0,1,0;
FIX       +(0)2,2,0;
FIXC      +(0)2,2,0;
FIXI      +(0)2,2,0;
FLOAT     +(0)2,2,0;
FMUL      +(0)2,4,0;
FREM      +(0)2,4,0;
FSTICKY   +(0)0,1,0;
FSUB      +(0)2,4,0;
