-- Mesa Opcodes; 10-Jun-86  9:07:50
-- Format: name octal(decimal)push,pop,length
RESRVD	377(0)0,0,1;
NOOP	0(0)0,0,1;
LL0	+(0)1,0,1;
LL1	+(0)1,0,1;
LL2	+(0)1,0,1;
LL3	+(0)1,0,1;
LL4	+(0)1,0,1;
LL5	+(0)1,0,1;
LL6	+(0)1,0,1;
LL7	+(0)1,0,1;
LL8	+(0)1,0,1;
LL9	+(0)1,0,1;
LL10	+(0)1,0,1;
LL11	+(0)1,0,1;
LLB	+(0)1,0,2;
LLD0	+(0)2,0,1;
LLD1	+(0)2,0,1;
LLD2	+(0)2,0,1;
LLD3	+(0)2,0,1;
LLD4	+(0)2,0,1;
LLD5	+(0)2,0,1;
LLD6	+(0)2,0,1;
LLD7	+(0)2,0,1;
LLD8	+(0)2,0,1;
LLD10	+(0)2,0,1;
LLDB	+(0)2,0,2;
SL0	+(0)0,1,1;
SL1	+(0)0,1,1;
SL2	+(0)0,1,1;
SL3	+(0)0,1,1;
SL4	+(0)0,1,1;
SL5	+(0)0,1,1;
SL6	+(0)0,1,1;
SL7	+(0)0,1,1;
SL8	+(0)0,1,1;
SL9	+(0)0,1,1;
SL10	+(0)0,1,1;
SLB	+(0)0,1,2;
SLD0	+(0)0,2,1;
SLD1	+(0)0,2,1;
SLD2	+(0)0,2,1;
SLD3	+(0)0,2,1;
SLD4	+(0)0,2,1;
SLD5	+(0)0,2,1;
SLD6	+(0)0,2,1;
SLD8	+(0)0,2,1;
PL0	+(0)1,1,1;
PL1	+(0)1,1,1;
PL2	+(0)1,1,1;
PL3	+(0)1,1,1;
PLB	+(0)1,1,2;
PLD0	+(0)2,2,1;
PLDB	+(0)2,2,2;
LG0	+(0)1,0,1;
LG1	+(0)1,0,1;
LG2	+(0)1,0,1;
LGB	+(0)1,0,2;
LGD0	+(0)2,0,1;
LGD2	+(0)2,0,1;
LGDB	+(0)2,0,2;
SGB	+(0)0,1,2;
BNDCK	+(0)1,2,1;
BRK	+(0)0,0,1;
STC	77(0)0,0,2;
R0	100(0)1,1,1;
R1	+(0)1,1,1;
RB	+(0)1,1,2;
RL0	+(0)1,2,1;
RLB	+(0)1,2,2;
RD0	+(0)2,1,1;
RDB	+(0)2,1,2;
RDL0	+(0)2,2,1;
RDLB	+(0)2,2,2;
W0	+(0)0,2,1;
WB	+(0)0,2,2;
PSB	+(0)1,2,2;
WLB	+(0)0,3,2;
PSLB	+(0)2,3,2;
WDB	+(0)0,3,2;
PSD0	+(0)1,3,1;
PSDB	+(0)1,3,2;
WDLB	+(0)0,4,2;
PSDLB	+(0)2,4,2;
RLI00	+(0)1,0,1;
RLI01	+(0)1,0,1;
RLI02	+(0)1,0,1;
RLI03	+(0)1,0,1;
RLIP	+(0)1,0,2;
RLILP	+(0)1,0,2;
RLDI00	+(0)2,0,1;
RLDIP	+(0)2,0,2;
RLDILP	+(0)2,0,2;
RGIP	+(0)1,0,2;
RGILP	+(0)1,0,2;
WLIP	+(0)0,1,2;
WLILP	+(0)0,1,2;
WLDILP	+(0)0,2,2;
RS	+(0)1,2,2;
RLS	+(0)1,3,2;
WS	+(0)0,3,2;
WLS	+(0)0,4,2;
R0F	+(0)1,1,2;
RF	+(0)1,1,3;
RL0F	+(0)1,2,2;
RLF	+(0)1,2,3;
RLFS	+(0)1,3,1;
RLIPF	+(0)1,0,3;
RLILPF	+(0)1,0,3;
W0F	+(0)0,2,2;
WF	+(0)0,2,3;
PSF	+(0)1,2,3;
PS0F	+(0)1,2,2;
WS0F	+(0)0,2,2;
WL0F	+(0)0,3,2;
WLF	+(0)0,3,3;
PSLF	+(0)2,3,3;
WLFS	+(0)0,4,1;
SLDB	+(0)0,2,2;
SGDB	+(0)0,2,2;
LLKB	+(0)2,0,2;
RKIB	+(0)1,0,2;
RKDIB	+(0)2,0,2;
LKB	+(0)0,0,2;
SHIFT	+(0)1,2,1;
SHIFTSB	+(0)1,1,2;
MBP	175(0)2,2,1;
RBP	176(0)2,1,2;
WBP	177(0)3,0,2;
CATCH	200(0)0,0,2;
J2	+(0)0,0,1;
J3	+(0)0,0,1;
J4	+(0)0,0,1;
J5	+(0)0,0,1;
J6	+(0)0,0,1;
J7	+(0)0,0,1;
J8	+(0)0,0,1;
JB	+(0)0,0,2;
JW	+(0)0,0,3;
JEP	+(0)0,1,2;
JEB	+(0)0,2,2;
JEBB	+(0)0,1,3;
JNEP	+(0)0,1,2;
JNEB	+(0)0,2,2;
JNEBB	+(0)0,1,3;
JLB	+(0)0,2,2;
JGEB	+(0)0,2,2;
JGB	+(0)0,2,2;
JLEB	+(0)0,2,2;
JULB	+(0)0,2,2;
JUGEB	+(0)0,2,2;
JUGB	+(0)0,2,2;
JULEB	+(0)0,2,2;
JZ3	+(0)0,1,1;
JZ4	+(0)0,1,1;
JZB	+(0)0,1,2;
JNZ3	+(0)0,1,1;
JNZ4	+(0)0,1,1;
JNZB	+(0)0,1,2;
JDEB    +(0)0,4,2;
JDNEB   +(0)0,4,2;
JIB	+(0)0,2,3;
JIW	+(0)0,2,3;
REC	+(0)1,0,1;
REC2	+(0)2,0,1;
DIS	+(0)0,1,1;
DIS2	+(0)0,2,1;
EXCH	+(0)2,2,1;
DEXCH	+(0)4,4,1;
DUP	+(0)2,1,1;
DDUP	+(0)4,2,1;
EXDIS	+(0)1,2,1;
NEG	+(0)1,1,1;
INC	+(0)1,1,1;
DEC	+(0)1,1,1;
DINC	+(0)2,2,1;
DBL	+(0)1,1,1;
DDBL	+(0)2,2,1;
TRPL	+(0)1,1,1;
AND	+(0)1,2,1;
IOR	+(0)1,2,1;
ADDSB	+(0)1,1,2;
ADD	+(0)1,2,1;
SUB	+(0)1,2,1;
DADD	+(0)2,4,1;
DSUB	+(0)2,4,1;
ADC	+(0)2,3,1;
ACD	+(0)2,3,1;
AL0IB   +(0)1,0,2;
MUL	+(0)1,2,1;
DCMP	+(0)1,4,1;
UDCMP	+(0)1,4,1;
LI0	300(0)1,0,1;
LI1	+(0)1,0,1;
LI2	+(0)1,0,1;
LI3	+(0)1,0,1;
LI4	+(0)1,0,1;
LI5	+(0)1,0,1;
LI6	+(0)1,0,1;
LI7	+(0)1,0,1;
LI8	+(0)1,0,1;
LI9	+(0)1,0,1;
LI10	+(0)1,0,1;
LIN1	+(0)1,0,1;
LINI	+(0)1,0,1;
LIB	+(0)1,0,2;
LIW	+(0)1,0,3;
LINB	+(0)1,0,2;
LIHB	+(0)1,0,2;
LID0	+(0)2,0,1;
LA0	+(0)1,0,1;
LA1	+(0)1,0,1;
LA2	+(0)1,0,1;
LA3	+(0)1,0,1;
LA6	+(0)1,0,1;
LA8	+(0)1,0,1;
LAB	+(0)1,0,2;
LAW	+(0)1,0,3;
GA0	+(0)1,0,1;
GA1	+(0)1,0,1;
GAB	+(0)1,0,2;
GAW	+(0)1,0,3;
CAW	+(0)2,0,3;
EFC0	+(0)0,0,1;
EFC1	+(0)0,0,1;
EFC2	+(0)0,0,1;
EFC3	+(0)0,0,1;
EFC4	+(0)0,0,1;
EFC5	+(0)0,0,1;
EFC6	+(0)0,0,1;
EFC7	+(0)0,0,1;
EFC8	+(0)0,0,1;
EFC9	+(0)0,0,1;
EFC10	+(0)0,0,1;
EFC11	+(0)0,0,1;
EFC12	+(0)0,0,1;
EFCB	+(0)0,0,2;
LFC	+(0)0,0,3;
SFC	+(0)0,1,1;
RET	+(0)0,0,1;
KFCB	+(0)0,0,2;
ME	+(0)1,2,1;
MX	+(0)0,2,1;
BLT	+(0)0,3,1;
BLTL	+(0)0,5,1;
BLTC	+(0)0,3,1;
BLTCL	+(0)0,4,1;
LP	+(0)2,1,1;
ESC	+(0)0,0,2;
ESCL	+(0)0,0,3;
LGA0	+(0)2,0,1;
LGAB	+(0)2,0,2;
LGAW	+(0)2,0,3;
DESC	+(0)2,0,3;
